제목,카테고리1,카테고리2,카테고리3,지역명,시군구명
엄마손충무김밥,음식,음식점,한식,경상남도,통영시
평창동의 봄,음식,음식점,한식,서울,종로구
음봉가든,음식,음식점,한식,경기도,가평군
대자골토속음식,음식,음식점,한식,경기도,고양시
장수촌,음식,음식점,한식,경기도,광명시
청기와뼈다귀해장국,음식,음식점,한식,경기도,부천시
일번지,음식,음식점,한식,경기도,성남시
장금이,음식,음식점,한식,경기도,시흥시
안성마춤갤러리,음식,음식점,한식,경기도,안성시
언덕너머매운탕,음식,음식점,한식,경기도,연천군
보영식당,음식,음식점,한식,경기도,의정부시
청정농원,음식,음식점,한식,경기도,하남시
봉가우리밀손칼국수,음식,음식점,한식,경기도,화성시
싸리골,음식,음식점,한식,강원도,정선군
연화식당,음식,음식점,한식,충청남도,계룡시
바닷가횟집,음식,음식점,한식,충청남도,서천군
충남집,음식,음식점,한식,충청남도,천안시
원풍식당,음식,음식점,한식,충청남도,태안군
갯마을회센타,음식,음식점,한식,충청남도,홍성군
명품한우 해성,음식,음식점,한식,충청북도,증평군
구룡식당,음식,음식점,한식,충청북도,청주시
장영선 원조 지례삼거리 불고기,음식,음식점,한식,경상북도,김천시
강나루,음식,음식점,한식,전라북도,무주군
흙가든허브오리,음식,음식점,한식,전라북도,익산시
고궁(본점),음식,음식점,한식,전라북도,전주시
강태분 할머니묵집,음식,음식점,한식,대전,유성구
옛날밥상,음식,음식점,한식,강원도,양양군
솔매기식당,음식,음식점,한식,경상북도,경산시
대원식당,음식,음식점,한식,경상북도,고령군
버드나무백숙,음식,음식점,한식,경상북도,구미시
약돌돼지샤브샤브,음식,음식점,한식,경상북도,문경시
낙동강한우촌,음식,음식점,한식,경상북도,상주시
꿩샤브샤브,음식,음식점,한식,경상북도,성주군
대게종가,음식,음식점,한식,경상북도,영덕군
선바위가든,음식,음식점,한식,경상북도,영양군
산성식당,음식,음식점,한식,경상북도,영천시
박달식당,음식,음식점,한식,경상북도,예천군
칠곡 고궁,음식,음식점,한식,경상북도,칠곡군
실비찜갈비,음식,음식점,한식,대구,중구
우리식당,음식,음식점,한식,경상남도,남해군
마산전통아구찜,음식,음식점,한식,경상남도,창원시
실안장어촌,음식,음식점,한식,경상남도,사천시
진상,음식,음식점,한식,경상남도,창원시
우진갯벌장어,음식,음식점,한식,전라북도,고창군
옥천골한정식,음식,음식점,한식,전라북도,순창군
26호까치할머니손칼국수,음식,음식점,한식,경기도,안산시
호성식당,음식,음식점,한식,경기도,평택시
당진제일꽃게장,음식,음식점,한식,충청남도,당진시
산장가든,음식,음식점,한식,세종특별자치시,세종특별자치시
흑돼지구이집 하영,음식,음식점,한식,제주도,서귀포시
동부식육식당,음식,음식점,한식,경상남도,밀양시
달 카페,음식,음식점,카페/전통찻집,서울,종로구
주홍산장,음식,음식점,한식,경상북도,군위군
보길도전복마을,음식,음식점,한식,전라남도,목포시
외서댁꼬막나라,음식,음식점,한식,전라남도,보성군
명가어찬,음식,음식점,한식,전라남도,영광군
팔도강산,음식,음식점,한식,광주,동구
고래고기원조할매집,음식,음식점,한식,울산,남구
언양전통불고기,음식,음식점,한식,울산,울주군
서울횟집,음식,음식점,한식,인천,강화군
흑돈가,음식,음식점,한식,제주도,제주시
진주식당,음식,음식점,한식,제주도,서귀포시
송림산장,음식,음식점,한식,경상남도,산청군
느티나무집,음식,음식점,한식,경상남도,창녕군
대구식당,음식,음식점,한식,경상남도,함안군
옥연가 함양점,음식,음식점,한식,경상남도,함양군
합천황토한우프라자,음식,음식점,한식,경상남도,합천군
봉화한약우프라자,음식,음식점,한식,경상북도,봉화군
보배식당,음식,음식점,한식,경상북도,울릉군
유일대게회센터,음식,음식점,한식,경상북도,울진군
다도해,음식,음식점,한식,전라남도,고흥군
씨네 드 쉐프(CINE de CHEF),음식,음식점,이색음식점,서울,강남구
성심회관,음식,음식점,한식,전라북도,임실군
명인관 (구. 내장산한일관),음식,음식점,한식,전라북도,정읍시
우리식당 할머니집,음식,음식점,한식,전라남도,신안군
두메칼국수,음식,음식점,한식,인천,옹진군
써니네 애견카페,음식,음식점,카페/전통찻집,서울,마포구
명물닭갈비,음식,음식점,한식,강원도,춘천시
원조한상근대통밥집,음식,음식점,한식,전라남도,담양군
대게나라,음식,음식점,한식,강원도,강릉시
T.G.I 프라이데이스(부산서면점),음식,음식점,패밀리레스토랑,부산,부산진구
미조식당,음식,음식점,한식,경상남도,남해군
베이뷰레스토랑,음식,음식점,서양식,울산,동구
무쇠가마솥곰탕,음식,음식점,한식,울산,울주군
시골이모순두부,음식,음식점,한식,강원도,속초시
가문,음식,음식점,중식,서울,강북구
명동찌개마을,음식,음식점,한식,서울,광진구
삼원,음식,음식점,한식,서울,서대문구
문경약돌한우타운,음식,음식점,한식,경상북도,문경시
오부자네왕순대,음식,음식점,한식,경상북도,예천군
석촌,음식,음식점,한식,서울,송파구
아리랑,음식,음식점,한식,서울,종로구
수련,음식,음식점,한식,경기도,부천시
우소보소,음식,음식점,한식,경기도,부천시
하나유키,음식,음식점,일식,서울,마포구
화로연각,음식,음식점,한식,서울,마포구
인사동그집,음식,음식점,한식,서울,종로구
인사동찻집,음식,음식점,카페/전통찻집,서울,종로구
옛찻집,음식,음식점,카페/전통찻집,서울,종로구
러빙헛(신촌점),음식,음식점,채식전문점,서울,서대문구
샤오훼이양 샤브샤브(삼성점),음식,음식점,중식,서울,강남구
한성수산,음식,음식점,한식,서울,금천구
편대장영화식당(범어점),음식,음식점,한식,대구,수성구
편대장영화식당(죽전점),음식,음식점,한식,대구,달서구
메르메르,음식,음식점,한식,서울,마포구
아하바 브라카,음식,음식점,이색음식점,서울,중구
길들여지기,음식,음식점,이색음식점,서울,중구
오리사냥(대전송촌점),음식,음식점,한식,대전,대덕구
오리사냥(서부산점),음식,음식점,한식,부산,강서구
원할머니보쌈(부산명지점),음식,음식점,한식,부산,강서구
녹슨드럼통,음식,음식점,한식,부산,강서구
할매재첩국,음식,음식점,한식,부산,사상구
남가네 설악추어탕,음식,음식점,한식,충청북도,증평군
군위이로운한우,음식,음식점,한식,경상북도,군위군
기러기청둥오리농장가든,음식,음식점,이색음식점,경상북도,군위군
다정옥,음식,음식점,한식,대전,서구
대궐식당,음식,음식점,한식,경상북도,영주시
제일소바,음식,음식점,한식,경상남도,의령군
재건식육식당,음식,음식점,한식,경상남도,의령군
삼거리식당,음식,음식점,한식,경상남도,산청군
남선옥,음식,음식점,한식,경상북도,의성군
배꼽빠진고기,음식,음식점,한식,경상남도,김해시
삼신봉펜션식당,음식,음식점,한식,경상남도,산청군
길복정,음식,음식점,한식,서울,종로구
떡갈비본가,음식,음식점,한식,전라남도,담양군
장원식당,음식,음식점,한식,전라남도,순천시
하얀집 풍천장어,음식,음식점,한식,강원도,영월군
뱀사골 지리산식당,음식,음식점,한식,전라북도,남원시
팜스팜스,음식,음식점,서양식,서울,서초구
머치골원조매운탕,음식,음식점,한식,경기도,남양주시
고원갈비,음식,음식점,한식,충청북도,제천시
